district,area_name,land_area_sqm,land_type,street_width_m,main_road_access,near_services,zoning_category,zoning_score,development_level,corner_plot,shape_regular,slope_level,lat,lng,asking_price_jod,price_per_sqm_jod,estimated_market_value_jod,fairness_label
Khalda,Khalda North,576.79,residential,16.0,0,1,D,5,medium,0,1,flat,32.021617,35.847763,257388.15,435.72,251316.75,Fair Price
Tla Al Ali,Tla Al Ali West,697.5,residential,8.0,1,1,B,8,high,0,0,moderate,32.009272,35.86748,383553.39,436.59,304519.85,Overpriced
Tabarbour,Inner Neighborhood,652.84,residential,10.0,0,1,D,5,high,0,1,flat,31.99203,35.938016,150839.69,204.51,133511.57,Overpriced
Jabal Amman,4th Circle,5236.93,agricultural,20.0,1,0,agricultural,3,prime,0,0,moderate,31.944057,35.918486,774558.92,157.82,826506.81,Fair Price
Naour,Naour West,830.06,residential,16.0,0,0,C,6,high,0,1,moderate,31.866246,35.756131,98267.66,107.88,89544.89,Fair Price
Jabal Amman,4th Circle,313.16,commercial,12.0,0,0,commercial_local,8,high,1,1,flat,31.95155,35.917223,448206.51,1475.48,462055.7,Fair Price
Um Uthaina,Um Uthaina South,832.47,commercial,12.0,1,1,commercial_general,10,prime,1,1,moderate,31.960439,35.878541,1676538.43,1925.66,1603050.6,Fair Price
Sahab,Sahab Center,1024.9,residential,10.0,1,1,D,5,prime,0,1,flat,31.873127,36.010919,192114.19,196.4,201295.17,Fair Price
Deir Ghbar,Deir Ghbar South,599.85,residential,8.0,1,1,B,8,prime,0,0,flat,31.934601,35.845939,569077.25,911.84,546960.58,Fair Price
Tabarbour,Tabarbour Main,837.71,residential,16.0,0,1,C,6,medium,0,1,moderate,31.994636,35.923535,202447.79,273.94,229479.67,Underpriced
Abdoun,North Abdoun,603.14,commercial,8.0,1,1,commercial_local,8,prime,1,1,flat,31.956614,35.880771,1732183.18,2530.0,1525948.34,Overpriced
Jabal Amman,1st Circle,456.43,residential,16.0,0,1,B,8,high,1,1,steep,31.95185,35.915473,554880.03,1270.56,579920.03,Fair Price
Tabarbour,Tabarbour Main,907.51,residential,14.0,1,1,B,8,high,0,1,flat,31.992666,35.926292,290462.06,352.0,319444.37,Fair Price
Marj Al Hamam,Marj Center,701.03,residential,16.0,0,1,C,6,high,0,1,steep,31.888364,35.785407,124533.88,190.19,133325.03,Fair Price
Al Jubeiha,Jubeiha North,738.13,residential,12.0,1,1,C,6,low,0,1,flat,32.041044,35.867176,305883.0,448.92,331364.63,Fair Price
Shmeisani,Central Shmeisani,1633.25,agricultural,14.0,1,0,agricultural,3,high,0,1,flat,31.972997,35.881719,269344.72,163.4,266870.45,Fair Price
Tla Al Ali,Tla Al Ali West,625.91,commercial,12.0,1,1,commercial_general,10,medium,0,1,moderate,32.013813,35.865071,547543.32,808.45,506011.51,Fair Price
Abdoun,South Abdoun,830.67,commercial,10.0,0,0,commercial_local,8,prime,0,1,flat,31.943968,35.875657,1525806.41,1550.33,1287818.19,Overpriced
Al Jubeiha,Jubeiha North,567.22,residential,10.0,1,1,B,8,medium,0,1,moderate,32.031215,35.864641,171336.47,335.08,190063.01,Fair Price
Sweileh,Sweileh North,713.32,commercial,12.0,1,1,commercial_local,8,prime,0,1,flat,32.03196,35.846478,461394.16,670.74,478450.54,Fair Price
Tla Al Ali,Tla Al Ali West,779.14,residential,16.0,1,1,B,8,high,0,0,moderate,32.003982,35.872535,242347.54,333.76,260041.1,Fair Price
Al Jubeiha,Jubeiha North,796.55,commercial,8.0,0,1,commercial_general,10,medium,0,1,steep,32.030888,35.868446,460827.22,469.06,373624.44,Overpriced
Naour,Naour West,464.33,residential,8.0,0,1,D,5,medium,0,1,flat,31.86319,35.75942,79719.17,163.38,75862.6,Fair Price
Deir Ghbar,Deir Ghbar Heights,531.75,residential,10.0,0,0,A,9,high,1,0,steep,31.934364,35.853201,349279.55,666.67,354500.6,Fair Price
Deir Ghbar,Deir Ghbar Heights,632.46,residential,16.0,0,1,D,5,high,1,1,steep,31.92872,35.838056,668754.72,911.5,576487.56,Overpriced
Marj Al Hamam,Marj Center,653.98,residential,16.0,0,1,B,8,medium,0,1,steep,31.88737,35.79724,140973.29,174.87,114359.04,Overpriced
Naour,Naour Center,853.98,residential,14.0,0,1,D,5,high,0,0,flat,31.8653,35.759703,163781.79,161.41,137840.46,Overpriced
Naour,Naour Center,599.45,residential,8.0,0,1,D,5,high,0,1,flat,31.870368,35.764185,103249.03,147.94,88684.62,Overpriced
Naour,Naour Center,637.9,residential,14.0,0,1,C,6,high,1,0,flat,31.866366,35.754465,96190.06,148.38,94652.64,Fair Price
Al Jubeiha,Jubeiha University Side,911.99,residential,30.0,0,1,B,8,medium,0,1,flat,32.034398,35.877057,455315.18,462.0,421340.7,Fair Price
Um Uthaina,Um Uthaina North,1066.15,residential,20.0,0,1,C,6,prime,0,0,flat,31.963176,35.876988,1196293.2,1049.91,1119357.44,Fair Price
Sahab,Sahab Center,676.76,residential,16.0,0,0,D,5,low,0,1,moderate,31.87067,36.007092,87176.73,120.15,81314.79,Fair Price
Sahab,Sahab Industrial Edge,881.57,commercial,14.0,1,1,commercial_general,10,high,0,0,moderate,31.872888,36.003615,373013.28,355.12,313061.34,Overpriced
Dabouq,Airport Road West,547.31,residential,10.0,0,0,D,5,prime,0,1,flat,31.999673,35.832684,527117.63,962.04,526532.94,Fair Price
Marka,Marka North,578.14,residential,12.0,0,1,C,6,high,0,1,moderate,31.997173,35.948362,136999.83,220.54,127504.11,Fair Price
Al Jubeiha,Jubeiha North,658.38,residential,12.0,0,1,A,9,high,1,1,steep,32.028452,35.876258,215972.9,416.1,273949.78,Underpriced
Sweileh,Sweileh North,662.86,commercial,10.0,0,1,commercial_local,8,high,0,1,flat,32.02265,35.851077,457772.91,640.77,424738.86,Fair Price
Marka,Marka North,354.02,commercial,6.0,1,1,commercial_general,10,low,0,0,moderate,31.995482,35.950485,145906.46,430.12,152271.36,Fair Price
Khalda,Khalda Circle,461.56,residential,12.0,0,1,B,8,high,0,1,flat,32.024109,35.85042,294916.67,548.32,253086.08,Overpriced
Sweileh,Sweileh Center,1954.8,agricultural,10.0,0,0,agricultural,3,medium,0,1,flat,32.034349,35.863409,128428.61,85.4,166934.49,Underpriced
Shmeisani,Central Shmeisani,3114.74,agricultural,10.0,0,0,agricultural,3,medium,0,1,steep,31.962166,35.887865,412659.16,123.17,383650.67,Fair Price
Abdoun,South Abdoun,1312.18,agricultural,16.0,0,0,agricultural,3,medium,0,1,steep,31.945149,35.879859,356631.76,243.67,319736.49,Overpriced
Marj Al Hamam,Marj Hills,391.92,residential,20.0,0,1,C,6,medium,0,1,flat,31.892875,35.787449,123333.77,287.28,112593.09,Fair Price
Jabal Amman,1st Circle,971.71,residential,12.0,0,1,D,5,prime,0,1,moderate,31.943514,35.915543,1110541.44,1048.37,1018704.03,Fair Price
Marka,Marka North,706.04,residential,12.0,0,1,D,5,low,1,1,flat,31.995032,35.944925,184320.44,194.13,137059.67,Overpriced
Shmeisani,Central Shmeisani,1030.4,commercial,12.0,1,1,commercial_local,8,medium,1,1,steep,31.950829,35.887663,1113473.85,1362.53,1403944.48,Underpriced
Naour,Naour West,1134.19,residential,12.0,0,1,C,6,medium,0,1,moderate,31.875148,35.763139,157922.25,132.14,149870.59,Fair Price
Shmeisani,Central Shmeisani,3183.77,agricultural,8.0,1,0,agricultural,3,prime,0,1,moderate,31.977427,35.878877,419529.16,163.11,519314.61,Underpriced
Shmeisani,West Shmeisani,819.55,commercial,8.0,0,1,commercial_local,8,medium,0,1,flat,31.961337,35.87711,1087515.33,1392.62,1141314.76,Fair Price
Abdoun,South Abdoun,1323.1,commercial,8.0,1,1,commercial_local,8,medium,0,1,steep,31.951367,35.872236,1431410.76,1180.58,1562026.53,Fair Price
Marka,Marka South,719.73,residential,12.0,0,1,A,9,prime,0,1,flat,31.995275,35.948539,206605.91,297.0,213759.61,Fair Price
Sweileh,Sweileh Center,508.55,residential,14.0,0,1,D,5,low,0,0,moderate,32.027926,35.852023,183063.79,354.21,180131.8,Fair Price
Sweileh,Sweileh North,1062.0,residential,12.0,0,1,D,5,prime,0,1,moderate,32.02484,35.848153,444814.43,384.46,408301.02,Fair Price
Um Uthaina,Um Uthaina South,851.03,residential,10.0,0,1,A,9,prime,0,0,flat,31.96765,35.88191,900383.28,1139.49,969741.61,Fair Price
Deir Ghbar,Deir Ghbar Heights,580.85,residential,16.0,1,0,C,6,high,0,0,steep,31.939035,35.840228,356746.66,635.1,368897.57,Fair Price
Jabal Amman,4th Circle,3692.46,agricultural,10.0,0,0,agricultural,3,prime,0,1,moderate,31.948606,35.916724,664240.02,182.78,674898.29,Fair Price
Marka,Marka South,869.27,commercial,20.0,0,1,commercial_general,10,medium,0,1,flat,31.997747,35.951452,387573.49,572.43,497598.65,Underpriced
Khalda,Khalda North,974.81,residential,14.0,0,1,A,9,high,1,1,moderate,32.019401,35.850379,610689.46,660.0,643371.31,Fair Price
Um Uthaina,Um Uthaina North,2398.91,agricultural,12.0,1,0,agricultural,3,high,1,1,moderate,31.962486,35.880199,521058.3,215.9,517929.0,Fair Price
Tla Al Ali,Tla Al Ali East,975.17,commercial,8.0,0,1,commercial_local,8,prime,0,0,flat,32.01264,35.869386,616155.41,691.9,674715.09,Fair Price
Marka,Marka North,583.77,residential,10.0,0,1,C,6,high,0,1,flat,31.999455,35.944821,111254.99,206.93,120797.77,Fair Price
Jabal Amman,4th Circle,414.48,residential,12.0,0,1,C,6,prime,1,0,steep,31.95502,35.911379,540000.55,1187.06,492010.01,Fair Price
Khalda,Khalda Circle,450.68,residential,10.0,0,1,B,8,high,0,1,moderate,32.019569,35.842214,227846.05,476.65,214817.02,Fair Price
Shmeisani,West Shmeisani,695.53,residential,24.0,0,1,B,8,high,0,1,steep,31.966371,35.880257,505926.44,696.07,484136.21,Fair Price
Um Uthaina,Um Uthaina North,343.32,residential,16.0,0,1,D,5,high,0,1,steep,31.961209,35.878806,325450.35,877.34,301209.49,Fair Price
Jabal Amman,1st Circle,724.15,residential,20.0,1,1,D,5,prime,0,1,flat,31.953841,35.914249,1048699.66,1485.0,1075357.98,Fair Price
Naour,Naour West,1161.52,residential,12.0,1,1,A,9,medium,0,1,flat,31.862983,35.758654,276400.07,231.0,268311.38,Fair Price
Tabarbour,Tabarbour Main,1487.62,agricultural,12.0,1,1,agricultural,3,medium,0,1,flat,31.996663,35.926442,102041.17,79.84,118777.84,Underpriced
Um Uthaina,Um Uthaina North,632.21,residential,30.0,1,1,B,8,medium,0,1,flat,31.972827,35.875118,726464.77,1101.61,696452.55,Fair Price
Khalda,Khalda North,418.97,residential,14.0,1,1,D,5,high,0,0,flat,32.022696,35.850028,176575.67,393.49,164858.99,Fair Price
Tla Al Ali,Tla Al Ali East,841.83,commercial,6.0,0,1,commercial_local,8,high,0,1,flat,32.015591,35.861057,721255.04,800.16,673604.71,Fair Price
Sahab,Sahab Center,758.11,residential,16.0,0,1,D,5,high,0,0,flat,31.867424,36.010897,119514.92,162.7,123346.61,Fair Price
Dabouq,Airport Road West,816.65,residential,14.0,0,1,B,8,high,1,1,moderate,31.99161,35.829794,694652.52,1287.73,1051624.23,Underpriced
Sweileh,Sweileh North,1073.66,commercial,16.0,0,1,commercial_local,8,high,1,1,steep,32.026771,35.857903,807336.21,615.26,660580.33,Overpriced
Shmeisani,Central Shmeisani,665.97,residential,10.0,0,1,A,9,prime,0,1,flat,31.970053,35.892516,490533.26,746.34,497036.78,Fair Price
Naour,Naour Center,957.0,commercial,20.0,1,1,commercial_local,8,medium,0,1,flat,31.875497,35.759331,259949.19,309.12,295827.22,Underpriced
Naour,Naour West,706.75,residential,14.0,0,1,D,5,medium,0,1,flat,31.860954,35.757262,96441.87,136.26,96301.06,Fair Price
Tabarbour,Tabarbour Main,758.08,residential,12.0,0,0,C,6,medium,1,0,flat,31.995308,35.927994,178630.13,228.38,173126.53,Fair Price
Naour,Naour Center,651.67,residential,12.0,0,1,A,9,low,0,1,steep,31.864089,35.761071,131187.95,169.77,110635.71,Overpriced
Deir Ghbar,Deir Ghbar Heights,958.72,residential,20.0,0,0,C,6,high,0,1,flat,31.936073,35.847825,576322.62,657.27,630137.39,Fair Price
Tla Al Ali,Tla Al Ali West,250.0,residential,8.0,0,0,C,6,high,0,0,moderate,32.011203,35.865449,75657.95,257.91,64477.43,Overpriced
Al Jubeiha,Jubeiha University Side,604.64,commercial,16.0,0,1,commercial_local,8,high,0,0,flat,32.026658,35.871598,342856.56,523.69,316647.11,Fair Price
Abdoun,North Abdoun,1098.03,residential,10.0,0,1,C,6,high,1,1,flat,31.940358,35.872179,1401488.05,1218.15,1337568.19,Fair Price
Marj Al Hamam,Marj Hills,438.78,residential,10.0,0,1,B,8,high,0,0,flat,31.882002,35.787856,89668.9,212.71,93333.03,Fair Price
Um Uthaina,Um Uthaina North,792.67,residential,16.0,0,0,B,8,prime,0,1,flat,31.972617,35.86993,977012.29,1320.0,1046318.34,Fair Price
Abdoun,South Abdoun,534.49,residential,6.0,1,1,A,9,prime,0,0,flat,31.946028,35.886216,788522.26,1539.0,822578.63,Fair Price
Sahab,Sahab Center,1358.56,commercial,16.0,0,1,commercial_general,10,medium,0,1,flat,31.87111,36.004042,478058.87,414.0,562445.26,Underpriced
Marka,Marka South,988.37,residential,16.0,0,1,B,8,low,0,1,flat,31.982665,35.951428,224430.94,214.68,212184.37,Fair Price
Shmeisani,West Shmeisani,610.68,residential,16.0,0,1,D,5,prime,0,1,flat,31.969587,35.893199,537041.34,695.93,424987.66,Overpriced
Shmeisani,West Shmeisani,1005.99,residential,16.0,0,1,C,6,prime,0,1,flat,31.964905,35.883917,1036109.31,903.09,908492.59,Overpriced
Khalda,Khalda Circle,876.56,residential,20.0,0,0,D,5,high,0,1,flat,32.029424,35.857412,380594.97,441.93,387380.55,Fair Price
Sahab,Sahab Industrial Edge,811.68,commercial,14.0,0,1,commercial_general,10,low,0,1,flat,31.876412,36.004754,336575.47,377.83,306676.31,Fair Price
Al Jubeiha,Jubeiha North,642.85,commercial,12.0,1,1,commercial_local,8,medium,0,1,moderate,32.028669,35.86902,389642.88,678.09,435908.54,Underpriced
Sahab,Sahab Center,896.78,residential,12.0,0,1,D,5,high,0,1,flat,31.862767,36.006827,126866.91,146.19,131103.48,Fair Price
Marka,Marka North,844.49,residential,6.0,1,1,C,6,medium,0,1,moderate,31.991015,35.953002,188717.92,296.32,250237.58,Underpriced
Marj Al Hamam,Marj Hills,499.29,residential,10.0,0,0,D,5,prime,0,1,moderate,31.885997,35.787758,95405.73,198.22,98970.05,Fair Price
Shmeisani,Central Shmeisani,734.06,residential,16.0,0,1,C,6,high,0,1,moderate,31.959665,35.885026,564663.45,814.47,597876.48,Fair Price
Marka,Marka South,515.19,residential,8.0,1,1,B,8,low,0,0,steep,31.998233,35.944293,112833.88,205.74,105992.48,Fair Price
Abdoun,South Abdoun,1252.07,residential,16.0,0,1,B,8,prime,0,1,flat,31.955151,35.879721,2114240.32,1540.0,1928190.28,Fair Price
Tla Al Ali,Tla Al Ali West,879.87,commercial,14.0,1,1,commercial_local,8,high,1,1,flat,32.011075,35.86198,917984.2,1035.0,910668.34,Fair Price
Dabouq,Dabouq Villas,815.34,commercial,10.0,0,1,commercial_general,10,high,1,1,flat,31.989192,35.836154,1008573.76,1137.19,927196.91,Fair Price
Deir Ghbar,Deir Ghbar Heights,296.94,residential,16.0,1,1,C,6,high,0,1,moderate,31.933058,35.840903,207620.66,787.61,233875.17,Underpriced
Sweileh,Sweileh North,861.53,residential,6.0,0,1,D,5,prime,1,0,flat,32.02828,35.855669,313889.77,343.2,295677.03,Fair Price
Jabal Amman,1st Circle,802.3,residential,14.0,0,1,B,8,high,0,0,flat,31.951994,35.920346,873496.44,1288.84,1034036.06,Underpriced
Sahab,Sahab Center,765.52,commercial,8.0,1,1,commercial_local,8,prime,0,1,steep,31.872977,36.01201,153300.33,216.55,165770.33,Fair Price
Sahab,Sahab Center,785.09,residential,16.0,0,1,C,6,low,0,1,flat,31.874584,36.005682,141274.58,161.86,127075.66,Overpriced
Marj Al Hamam,Marj Hills,1226.37,residential,10.0,0,1,D,5,high,1,1,moderate,31.890298,35.786756,284003.92,256.43,314475.51,Fair Price
Marj Al Hamam,Marj Center,1054.47,residential,12.0,1,0,D,5,low,0,0,moderate,31.888774,35.792487,125348.75,148.57,156657.83,Underpriced
Abdoun,North Abdoun,819.83,residential,12.0,0,1,C,6,prime,0,1,moderate,31.946214,35.882041,920998.43,1269.45,1040740.6,Underpriced
Al Jubeiha,Jubeiha North,508.32,residential,14.0,0,0,C,6,high,0,1,flat,32.03323,35.869016,203147.77,438.2,222745.11,Fair Price
Al Jubeiha,Jubeiha North,748.6,commercial,8.0,1,1,commercial_local,8,high,0,0,flat,32.037874,35.862228,387066.97,516.28,386485.52,Fair Price
Marj Al Hamam,Marj Hills,933.4,residential,14.0,0,1,A,9,high,0,0,moderate,31.890582,35.793437,218150.19,228.75,213512.57,Fair Price
Deir Ghbar,Deir Ghbar South,735.86,commercial,10.0,0,1,commercial_local,8,prime,0,1,moderate,31.925587,35.844689,489639.93,856.69,630411.42,Underpriced
Marka,Marka South,1655.2,agricultural,14.0,0,1,agricultural,3,medium,0,1,moderate,31.982967,35.950945,171384.17,96.89,160371.21,Fair Price
Um Uthaina,Um Uthaina South,714.31,commercial,14.0,1,1,commercial_local,8,high,0,0,flat,31.969551,35.878464,946500.01,1297.65,926924.63,Fair Price
Khalda,Khalda North,800.0,agricultural,24.0,1,0,agricultural,3,high,0,1,steep,32.025505,35.858448,135689.18,120.61,96485.94,Overpriced
Dabouq,Airport Road West,1939.55,agricultural,20.0,0,0,agricultural,3,high,0,1,flat,31.984449,35.830186,583250.49,271.74,527063.22,Overpriced
Tabarbour,Tabarbour Main,1298.26,residential,16.0,0,1,B,8,high,1,0,moderate,31.997123,35.932221,447015.07,277.86,360729.75,Overpriced
Sweileh,Sweileh North,667.37,residential,20.0,0,1,D,5,medium,0,1,steep,32.029102,35.85222,168026.45,246.16,164276.68,Fair Price
Shmeisani,Central Shmeisani,831.58,residential,8.0,0,0,C,6,high,1,1,flat,31.968006,35.882064,628627.32,830.56,690676.14,Fair Price
Deir Ghbar,Deir Ghbar Heights,946.2,commercial,12.0,0,1,commercial_local,8,prime,0,1,flat,31.942252,35.838065,937445.6,1056.37,999536.76,Fair Price
Sahab,Sahab Center,1164.32,residential,16.0,1,1,C,6,high,0,0,moderate,31.871233,36.005765,169495.08,163.75,190662.72,Underpriced
Tla Al Ali,Tla Al Ali East,800.0,agricultural,16.0,0,0,agricultural,3,high,1,1,steep,32.00722,35.855777,90015.29,118.78,95026.02,Fair Price
Sahab,Sahab Center,437.24,residential,8.0,1,1,D,5,medium,0,1,flat,31.866705,36.004408,85423.76,198.0,86573.89,Fair Price
Marka,Marka South,734.86,residential,12.0,1,1,B,8,prime,1,1,moderate,31.984215,35.948594,200355.15,297.0,218253.94,Fair Price
Tla Al Ali,Tla Al Ali East,836.22,commercial,8.0,1,1,commercial_local,8,high,0,0,steep,32.008968,35.869204,478278.62,569.52,476246.75,Fair Price
Naour,Naour Center,446.51,residential,6.0,0,1,D,5,prime,0,1,flat,31.868133,35.756068,68274.03,129.52,57831.04,Overpriced
Tla Al Ali,Tla Al Ali East,634.07,residential,8.0,0,1,B,8,prime,0,1,moderate,32.003156,35.869171,240430.12,359.07,227674.72,Fair Price
Sahab,Sahab Center,941.64,commercial,10.0,0,1,commercial_local,8,medium,1,1,moderate,31.867821,36.00789,346116.71,360.92,339854.87,Fair Price
Sweileh,Sweileh Center,800.0,agricultural,12.0,0,0,agricultural,3,medium,1,1,flat,32.029388,35.852985,150679.74,155.25,124200.39,Overpriced
Tla Al Ali,Tla Al Ali West,901.26,commercial,24.0,0,1,commercial_general,10,high,0,1,moderate,32.017651,35.863254,945514.06,1035.0,932809.19,Fair Price
Marj Al Hamam,Marj Center,1002.72,commercial,14.0,0,0,commercial_local,8,high,0,1,flat,31.887612,35.793311,544759.24,534.3,535754.34,Fair Price
Dabouq,Dabouq Villas,1408.62,commercial,14.0,0,1,commercial_general,10,prime,1,0,moderate,31.996631,35.836635,1737659.36,1202.49,1693850.16,Fair Price
Dabouq,Dabouq Villas,1043.24,residential,14.0,0,1,C,6,prime,0,1,flat,31.986001,35.835455,1090133.24,963.19,1004831.13,Fair Price
Abdoun,North Abdoun,510.76,commercial,20.0,1,1,commercial_local,8,low,0,1,flat,31.94832,35.879356,1275466.02,2179.28,1113095.39,Overpriced
Marj Al Hamam,Marj Hills,864.65,residential,20.0,0,0,B,8,medium,0,1,moderate,31.895657,35.790167,137679.41,200.53,173390.63,Underpriced
Sahab,Sahab Center,250.0,commercial,20.0,1,0,commercial_local,8,medium,0,0,flat,31.868018,36.003317,56159.16,285.5,71373.89,Underpriced
Marka,Marka North,735.67,residential,20.0,0,1,B,8,prime,0,1,flat,31.999383,35.945823,151249.59,247.69,182217.91,Underpriced
Naour,Naour Center,779.84,commercial,12.0,0,0,commercial_general,10,medium,0,0,flat,31.877692,35.761573,270999.11,363.53,283492.76,Fair Price
Marka,Marka South,461.95,residential,6.0,0,1,C,6,high,0,0,flat,31.988983,35.949741,94113.49,189.93,87738.67,Fair Price
Naour,Naour West,729.54,residential,12.0,0,1,D,5,medium,0,1,moderate,31.869794,35.759499,82558.09,153.71,112138.54,Underpriced
Tabarbour,Tabarbour Main,869.15,commercial,8.0,0,1,commercial_local,8,prime,1,1,flat,31.993814,35.931709,489526.24,582.87,506601.03,Fair Price
Shmeisani,Central Shmeisani,1155.79,residential,12.0,1,1,B,8,high,0,0,flat,31.965183,35.884008,765316.73,673.29,778181.09,Fair Price
Marj Al Hamam,Marj Center,609.94,residential,14.0,0,1,B,8,medium,0,0,flat,31.884022,35.793229,205322.88,301.09,183645.06,Overpriced
Um Uthaina,Um Uthaina North,532.4,residential,12.0,0,1,B,8,prime,0,1,flat,31.971443,35.882475,633273.64,1320.0,702765.32,Fair Price
Shmeisani,Central Shmeisani,646.49,commercial,14.0,1,1,commercial_local,8,high,0,0,moderate,31.971568,35.882667,662514.63,1200.22,775932.06,Underpriced
Marka,Marka North,615.92,residential,10.0,1,0,D,5,high,1,0,flat,31.994589,35.951968,93809.49,153.35,94452.92,Fair Price
Sweileh,Sweileh Center,659.46,residential,30.0,0,1,C,6,high,0,0,moderate,32.021024,35.856581,276944.79,451.31,297626.18,Fair Price
Shmeisani,Central Shmeisani,1086.6,residential,12.0,0,1,D,5,prime,0,1,moderate,31.968059,35.893042,803714.1,690.69,750502.75,Fair Price
Khalda,Khalda Circle,800.0,agricultural,8.0,1,0,agricultural,3,high,0,1,moderate,32.026631,35.840992,128906.47,161.92,129536.44,Fair Price
Sweileh,Sweileh Center,753.02,residential,20.0,0,1,A,9,high,0,1,flat,32.021292,35.872256,380780.5,473.0,356177.53,Fair Price
Khalda,Khalda North,2514.52,agricultural,12.0,0,0,agricultural,3,prime,0,1,steep,32.027603,35.850121,333748.84,126.24,317429.76,Fair Price
Tabarbour,Inner Neighborhood,595.64,residential,14.0,0,1,B,8,high,0,1,flat,31.995535,35.934231,196891.25,345.31,205679.73,Fair Price
Sweileh,Sweileh Center,790.24,residential,20.0,0,1,B,8,medium,1,0,flat,32.024333,35.855212,432534.91,473.0,373781.54,Overpriced
Shmeisani,West Shmeisani,451.64,commercial,16.0,1,1,commercial_general,10,high,0,1,moderate,31.961406,35.883481,645608.52,1725.0,779080.01,Underpriced
Sahab,Sahab Industrial Edge,717.87,residential,10.0,0,1,D,5,low,0,1,flat,31.868254,36.006391,72457.52,92.71,66555.63,Fair Price
Al Jubeiha,Jubeiha North,1267.78,commercial,12.0,0,1,commercial_general,10,high,0,1,moderate,32.03322,35.87067,856985.48,581.58,737316.86,Overpriced
Al Jubeiha,Jubeiha North,440.4,residential,14.0,0,1,B,8,medium,0,1,flat,32.028903,35.867996,198944.69,439.74,193658.64,Fair Price
Sahab,Sahab Center,991.18,residential,6.0,0,1,D,5,medium,0,1,steep,31.873902,35.996101,76358.39,77.98,77292.05,Fair Price
Abdoun,North Abdoun,574.42,residential,20.0,0,1,B,8,prime,1,1,steep,31.948758,35.872207,869611.23,1525.48,876261.44,Fair Price
Tabarbour,Inner Neighborhood,807.98,commercial,6.0,1,0,commercial_local,8,medium,0,1,moderate,32.006426,35.945592,274868.52,303.36,245109.36,Overpriced
Marj Al Hamam,Marj Center,986.12,residential,16.0,0,1,C,6,low,0,1,moderate,31.88861,35.803166,246496.05,281.58,277670.03,Underpriced
Deir Ghbar,Deir Ghbar Heights,250.0,residential,16.0,0,0,D,5,high,0,1,flat,31.93205,35.840971,162395.98,604.17,151043.42,Fair Price
Abdoun,North Abdoun,878.19,commercial,14.0,0,1,commercial_general,10,high,1,0,steep,31.941263,35.882926,1679934.32,1958.33,1719794.01,Fair Price
Abdoun,North Abdoun,849.99,agricultural,20.0,0,1,agricultural,3,high,0,1,steep,31.946717,35.876743,212019.03,280.95,238802.56,Underpriced
Um Uthaina,Um Uthaina South,914.24,commercial,6.0,0,1,commercial_local,8,high,0,1,moderate,31.964916,35.875875,1956529.78,1984.23,1814073.19,Fair Price
Tla Al Ali,Tla Al Ali West,734.61,commercial,14.0,1,1,commercial_local,8,medium,0,1,flat,32.01596,35.874399,905275.65,993.48,729820.24,Overpriced
Shmeisani,Central Shmeisani,3614.0,agricultural,8.0,1,1,agricultural,3,high,0,1,flat,31.964453,35.87996,709972.53,191.9,693515.4,Fair Price
Tla Al Ali,Tla Al Ali East,1741.42,agricultural,14.0,1,0,agricultural,3,high,0,1,moderate,32.006628,35.8707,196754.86,96.29,167676.43,Overpriced
Marj Al Hamam,Marj Center,1042.2,commercial,10.0,1,1,commercial_local,8,prime,1,1,moderate,31.89236,35.789699,687850.32,510.35,531884.18,Overpriced
Sweileh,Sweileh North,822.66,residential,8.0,0,1,A,9,low,0,1,moderate,32.018161,35.843825,224255.77,282.92,232746.38,Fair Price
Tla Al Ali,Tla Al Ali West,898.46,residential,16.0,0,0,A,9,medium,0,0,flat,32.004988,35.858025,429755.69,375.36,337245.29,Overpriced
Abdoun,North Abdoun,896.74,residential,14.0,0,0,D,5,high,0,1,steep,31.947988,35.880391,905201.63,1020.76,915354.97,Fair Price
Jabal Amman,4th Circle,387.57,residential,6.0,0,1,C,6,high,1,0,moderate,31.938733,35.916349,518862.34,1278.04,495325.09,Fair Price
Tabarbour,Inner Neighborhood,652.29,residential,16.0,0,1,C,6,high,1,1,steep,31.994453,35.925746,126802.65,226.46,147717.96,Underpriced
Um Uthaina,Um Uthaina South,778.16,residential,6.0,1,1,C,6,prime,1,1,moderate,31.971314,35.885318,685613.59,975.59,759165.23,Fair Price
Tla Al Ali,Tla Al Ali West,800.0,agricultural,16.0,0,0,agricultural,3,high,1,0,flat,32.004169,35.873902,121028.12,161.64,129310.54,Fair Price
Marj Al Hamam,Marj Hills,544.41,residential,8.0,0,1,D,5,high,0,0,moderate,31.893869,35.789348,139122.05,261.61,142420.67,Fair Price
Deir Ghbar,Deir Ghbar Heights,629.04,residential,20.0,0,0,B,8,high,0,0,flat,31.933584,35.843437,322885.3,630.87,396842.72,Underpriced
Sweileh,Sweileh North,777.94,residential,10.0,0,1,B,8,prime,0,0,moderate,32.024204,35.852688,214957.21,332.12,258366.87,Underpriced
Marj Al Hamam,Marj Center,524.85,residential,8.0,0,1,B,8,low,0,0,flat,31.881965,35.790882,106821.07,234.42,123034.2,Underpriced
Jabal Amman,1st Circle,604.93,residential,12.0,1,1,A,9,medium,0,0,steep,31.948857,35.915137,747570.44,1128.06,682398.89,Fair Price
Dabouq,Airport Road West,602.92,residential,8.0,0,1,C,6,high,1,1,flat,31.998927,35.823353,785156.59,1232.18,742911.13,Fair Price
